ローズステークス,0,0,3000,ローズステークス,ローズステークス,名詞,固有名詞,一般,*,*,*,ローズステークス,*,A,*,*,*,*,*
オールカマー,0,0,3000,オールカマー,オールカマー,名詞,固有名詞,一般,*,*,*,オールカマー,*,A,*,*,*,*,*
毎日王冠,0,0,3000,毎日王冠,マイニチオウカン,名詞,固有名詞,一般,*,*,*,毎日王冠,*,A,*,*,*,*,*
京都大賞典,0,0,3000,京都大賞典,キョウトダイショウテン,名詞,固有名詞,一般,*,*,*,京都大賞典,*,A,*,*,*,*,*
府中牝馬ステークス,0,0,3000,府中牝馬ステークス,フチュウヒンバステークス,名詞,固有名詞,一般,*,*,*,府中牝馬ステークス,*,A,*,*,*,*,*
弥生賞,0,0,3000,弥生賞,ヤヨイショウ,名詞,固有名詞,一般,*,*,*,弥生賞,*,A,*,*,*,*,*
弥生賞ディープインパクト記念,0,0,3000,弥生賞ディープインパクト記念,ヤヨイショウディープインパクトキネン,名詞,固有名詞,一般,*,*,*,弥生賞ディープインパクト記念,*,A,*,*,*,*,*
スプリングステークス,0,0,3000,スプリングステークス,スプリングステークス,名詞,固有名詞,一般,*,*,*,スプリングステークス,*,A,*,*,*,*,*
チューリップ賞,0,0,3000,チューリップ賞,チューリップショウ,名詞,固有名詞,一般,*,*,*,チューリップ賞,*,A,*,*,*,*,*
フィリーズレビュー,0,0,3000,フィリーズレビュー,フィリーズレビュー,名詞,固有名詞,一般,*,*,*,フィリーズレビュー,*,A,*,*,*,*,*
アーリントンカップ,0,0,3000,アーリントンカップ,アーリントンカップ,名詞,固有名詞,一般,*,*,*,アーリントンカップ,*,A,*,*,*,*,*
ファルコンステークス,0,0,3000,ファルコンステークス,ファルコンステークス,名詞,固有名詞,一般,*,*,*,ファルコンステークス,*,A,*,*,*,*,*
フローラステークス,0,0,3000,フローラステークス,フローラステークス,名詞,固有名詞,一般,*,*,*,フローラステークス,*,A,*,*,*,*,*
青葉賞,0,0,3000,青葉賞,アオバショウ,名詞,固有名詞,一般,*,*,*,青葉賞,*,A,*,*,*,*,*
プリンシパルステークス,0,0,3000,プリンシパルステークス,プリンシパルステークス,名詞,固有名詞,一般,*,*,*,プリンシパルステークス,*,A,*,*,*,*,*
京成杯,0,0,3000,京成杯,ケイセイハイ,名詞,固有名詞,一般,*,*,*,京成杯,*,A,*,*,*,*,*
日経賞,0,0,3000,日経賞,ニッケイショウ,名詞,固有名詞,一般,*,*,*,日経賞,*,A,*,*,*,*,*
日経新春杯,0,0,3000,日経新春杯,ニッケイシンシュンハイ,名詞,固有名詞,一般,*,*,*,日経新春杯,*,A,*,*,*,*,*
金鯱賞,0,0,3000,金鯱賞,キンシャチノキネン,名詞,固有名詞,一般,*,*,*,金鯱賞,*,A,*,*,*,*,*
小倉記念,0,0,3000,小倉記念,コクラキネン,名詞,固有名詞,一般,*,*,*,小倉記念,*,A,*,*,*,*,*
関屋記念,0,0,3000,関屋記念,セキヤキネン,名詞,固有名詞,一般,*,*,*,関屋記念,*,A,*,*,*,*,*
札幌記念,0,0,3000,札幌記念,サッポロキネン,名詞,固有名詞,一般,*,*,*,札幌記念,*,A,*,*,*,*,*
函館記念,0,0,3000,函館記念,ハコダテキネン,名詞,固有名詞,一般,*,*,*,函館記念,*,A,*,*,*,*,*
新潟記念,0,0,3000,新潟記念,ニイガタキネン,名詞,固有名詞,一般,*,*,*,新潟記念,*,A,*,*,*,*,*
中京記念,0,0,3000,中京記念,チュウキョウキネン,名詞,固有名詞,一般,*,*,*,中京記念,*,A,*,*,*,*,*
七夕賞,0,0,3000,七夕賞,タナバタショウ,名詞,固有名詞,一般,*,*,*,七夕賞,*,A,*,*,*,*,*
紫苑ステークス,0,0,3000,紫苑ステークス,シオンステークス,名詞,固有名詞,一般,*,*,*,紫苑ステークス,*,A,*,*,*,*,*
セントウルステークス,0,0,3000,セントウルステークス,セントウルステークス,名詞,固有名詞,一般,*,*,*,セントウルステークス,*,A,*,*,*,*,*
京成杯オータムハンデキャップ,0,0,3000,京成杯オータムハンデキャップ,ケイセイハイオータムハンデキャップ,名詞,固有名詞,一般,*,*,*,京成杯オータムハンデキャップ,*,A,*,*,*,*,*
キーンランドカップ,0,0,3000,キーンランドカップ,キーンランドカップ,名詞,固有名詞,一般,*,*,*,キーンランドカップ,*,A,*,*,*,*,*
アイビスサマーダッシュ,0,0,3000,アイビスサマーダッシュ,アイビスサマーダッシュ,名詞,固有名詞,一般,*,*,*,アイビスサマーダッシュ,*,A,*,*,*,*,*
凱旋門賞,0,0,3000,凱旋門賞,ガイセンモンショウ,名詞,固有名詞,一般,*,*,*,凱旋門賞,*,A,*,*,*,*,*
サウジカップ,0,0,3000,サウジカップ,サウジカップ,名詞,固有名詞,一般,*,*,*,サウジカップ,*,A,*,*,*,*,*
ドバイワールドカップ,0,0,3000,ドバイワールドカップ,ドバイワールドカップ,名詞,固有名詞,一般,*,*,*,ドバイワールドカップ,*,A,*,*,*,*,*
ブリーダーズカップ,0,0,3000,ブリーダーズカップ,ブリーダーズカップ,名詞,固有名詞,一般,*,*,*,ブリーダーズカップ,*,A,*,*,*,*,*
競走馬,0,0,3000,競走馬,ケイソウバ,名詞,普通名詞,一般,*,*,*,競走馬,*,A,*,*,*,*,*
重賞,0,0,3000,重賞,ジュウショウ,名詞,普通名詞,一般,*,*,*,重賞,*,A,*,*,*,*,*
出走馬,0,0,3000,出走馬,シュッソウバ,名詞,普通名詞,一般,*,*,*,出走馬,*,A,*,*,*,*,*
登録馬,0,0,3000,登録馬,トウロクバ,名詞,普通名詞,一般,*,*,*,登録馬,*,A,*,*,*,*,*
枠順,0,0,3000,枠順,ワクジュン,名詞,普通名詞,一般,*,*,*,枠順,*,A,*,*,*,*,*
馬番,0,0,3000,馬番,ウマバン,名詞,普通名詞,一般,*,*,*,馬番,*,A,*,*,*,*,*
斤量,0,0,3000,斤量,キンリョウ,名詞,普通名詞,一般,*,*,*,斤量,*,A,*,*,*,*,*
ハンデキャップ,0,0,3000,ハンデキャップ,ハンデキャップ,名詞,普通名詞,一般,*,*,*,ハンデキャップ,*,A,*,*,*,*,*
馬場状態,0,0,3000,馬場状態,ババジョウタイ,名詞,普通名詞,一般,*,*,*,馬場状態,*,A,*,*,*,*,*
追い切り,0,0,3000,追い切り,オイキリ,名詞,普通名詞,サ変可能,*,*,*,追い切り,*,A,*,*,*,*,*
調教師,0,0,3000,調教師,チョウキョウシ,名詞,普通名詞,一般,*,*,*,調教師,*,A,*,*,*,*,*
厩舎,0,0,3000,厩舎,キュウシャ,名詞,普通名詞,一般,*,*,*,厩舎,*,A,*,*,*,*,*
騎乗,0,0,3000,騎乗,キジョウ,名詞,普通名詞,サ変可能,*,*,*,騎乗,*,A,*,*,*,*,*
鞍上,0,0,3000,鞍上,アンジョウ,名詞,普通名詞,一般,*,*,*,鞍上,*,A,*,*,*,*,*
種牡馬,0,0,3000,種牡馬,シュボバ,名詞,普通名詞,一般,*,*,*,種牡馬,*,A,*,*,*,*,*
繁殖牝馬,0,0,3000,繁殖牝馬,ハンショクヒンバ,名詞,普通名詞,一般,*,*,*,繁殖牝馬,*,A,*,*,*,*,*
牡馬,0,0,3000,牡馬,ボバ,名詞,普通名詞,一般,*,*,*,牡馬,*,A,*,*,*,*,*
牝馬,0,0,3000,牝馬,ヒンバ,名詞,普通名詞,一般,*,*,*,牝馬,*,A,*,*,*,*,*
せん馬,0,0,3000,せん馬,センバ,名詞,普通名詞,一般,*,*,*,せん馬,*,A,*,*,*,*,*
新馬戦,0,0,3000,新馬戦,シンバセン,名詞,普通名詞,一般,*,*,*,新馬戦,*,A,*,*,*,*,*
未勝利戦,0,0,3000,未勝利戦,ミショウリセン,名詞,普通名詞,一般,*,*,*,未勝利戦,*,A,*,*,*,*,*
勝ち上がり,0,0,3000,勝ち上がり,カチアガリ,名詞,普通名詞,サ変可能,*,*,*,勝ち上がり,*,A,*,*,*,*,*
降着,0,0,3000,降着,コウチャク,名詞,普通名詞,サ変可能,*,*,*,降着,*,A,*,*,*,*,*
失格,0,0,3000,失格,シッカク,名詞,普通名詞,一般,*,*,*,失格,*,A,*,*,*,*,*
出走取消,0,0,3000,出走取消,シュッソウトリケシ,名詞,普通名詞,一般,*,*,*,出走取消,*,A,*,*,*,*,*
競走除外,0,0,3000,競走除外,キョウソウジョガイ,名詞,普通名詞,一般,*,*,*,競走除外,*,A,*,*,*,*,*
登録抹消,0,0,3000,登録抹消,トウロクマッショウ,名詞,普通名詞,サ変可能,*,*,*,登録抹消,*,A,*,*,*,*,*
屈腱炎,0,0,3000,屈腱炎,クッケンエン,名詞,普通名詞,一般,*,*,*,屈腱炎,*,A,*,*,*,*,*
予後不良,0,0,3000,予後不良,ヨゴフリョウ,名詞,普通名詞,一般,*,*,*,予後不良,*,A,*,*,*,*,*
帰厩,0,0,3000,帰厩,キキュウ,名詞,普通名詞,サ変可能,*,*,*,帰厩,*,A,*,*,*,*,*
放牧,0,0,3000,放牧,ホウボク,名詞,普通名詞,サ変可能,*,*,*,放牧,*,A,*,*,*,*,*
一口馬主,0,0,3000,一口馬主,ヒトクチバヌシ,名詞,普通名詞,一般,*,*,*,一口馬主,*,A,*,*,*,*,*
募集馬,0,0,3000,募集馬,ボシュウバ,名詞,普通名詞,一般,*,*,*,募集馬,*,A,*,*,*,*,*
単勝,0,0,3000,単勝,タンショウ,名詞,普通名詞,一般,*,*,*,単勝,*,A,*,*,*,*,*
複勝,0,0,3000,複勝,フクショウ,名詞,普通名詞,一般,*,*,*,複勝,*,A,*,*,*,*,*
枠連,0,0,3000,枠連,ワクレン,名詞,普通名詞,一般,*,*,*,枠連,*,A,*,*,*,*,*
馬連,0,0,3000,馬連,ウマレン,名詞,普通名詞,一般,*,*,*,馬連,*,A,*,*,*,*,*
馬単,0,0,3000,馬単,ウマタン,名詞,普通名詞,一般,*,*,*,馬単,*,A,*,*,*,*,*
三連複,0,0,3000,三連複,サンレンプク,名詞,普通名詞,一般,*,*,*,三連複,*,A,*,*,*,*,*
三連単,0,0,3000,三連単,サンレンタン,名詞,普通名詞,一般,*,*,*,三連単,*,A,*,*,*,*,*
払戻金,0,0,3000,払戻金,ハライモドシキン,名詞,普通名詞,一般,*,*,*,払戻金,*,A,*,*,*,*,*
万馬券,0,0,3000,万馬券,マンバケン,名詞,普通名詞,一般,*,*,*,万馬券,*,A,*,*,*,*,*
本命馬,0,0,3000,本命馬,ホンメイバ,名詞,普通名詞,一般,*,*,*,本命馬,*,A,*,*,*,*,*
穴馬,0,0,3000,穴馬,アナウマ,名詞,普通名詞,一般,*,*,*,穴馬,*,A,*,*,*,*,*
逃げ馬,0,0,3000,逃げ馬,ニゲウマ,名詞,普通名詞,一般,*,*,*,逃げ馬,*,A,*,*,*,*,*
追込馬,0,0,3000,追込馬,オイコミウマ,名詞,普通名詞,一般,*,*,*,追込馬,*,A,*,*,*,*,*
先行馬,0,0,3000,先行馬,センコウウマ,名詞,普通名詞,一般,*,*,*,先行馬,*,A,*,*,*,*,*
末脚,0,0,3000,末脚,スエアシ,名詞,普通名詞,一般,*,*,*,末脚,*,A,*,*,*,*,*
上がり,0,0,3000,上がり,アガリ,名詞,普通名詞,一般,*,*,*,上がり,*,A,*,*,*,*,*
出遅れ,0,0,3000,出遅れ,デオクレ,名詞,普通名詞,サ変可能,*,*,*,出遅れ,*,A,*,*,*,*,*
斜行,0,0,3000,斜行,シャコウ,名詞,普通名詞,サ変可能,*,*,*,斜行,*,A,*,*,*,*,*
大外,0,0,3000,大外,オオソト,名詞,普通名詞,一般,*,*,*,大外,*,A,*,*,*,*,*
最内,0,0,3000,最内,サイウチ,名詞,普通名詞,一般,*,*,*,最内,*,A,*,*,*,*,*
馬なり,0,0,3000,馬なり,ウマナリ,名詞,普通名詞,一般,*,*,*,馬なり,*,A,*,*,*,*,*
馬体重,0,0,3000,馬体重,バタイジュウ,名詞,普通名詞,一般,*,*,*,馬体重,*,A,*,*,*,*,*
返し馬,0,0,3000,返し馬,カエシウマ,名詞,普通名詞,一般,*,*,*,返し馬,*,A,*,*,*,*,*
連対率,0,0,3000,連対率,レンタイリツ,名詞,普通名詞,一般,*,*,*,連対率,*,A,*,*,*,*,*
着差,0,0,3000,着差,チャクサ,名詞,普通名詞,一般,*,*,*,着差,*,A,*,*,*,*,*
着順,0,0,3000,着順,チャクジュン,名詞,普通名詞,一般,*,*,*,着順,*,A,*,*,*,*,*
優先出走権,0,0,3000,優先出走権,ユウセンシュッソウケン,名詞,普通名詞,一般,*,*,*,優先出走権,*,A,*,*,*,*,*
収得賞金,0,0,3000,収得賞金,シュウトクショウキン,名詞,普通名詞,一般,*,*,*,収得賞金,*,A,*,*,*,*,*
フルゲート,0,0,3000,フルゲート,フルゲート,名詞,普通名詞,一般,*,*,*,フルゲート,*,A,*,*,*,*,*
三冠馬,0,0,3000,三冠馬,サンカンバ,名詞,普通名詞,一般,*,*,*,三冠馬,*,A,*,*,*,*,*
牝馬三冠,0,0,3000,牝馬三冠,ヒンバサンカン,名詞,普通名詞,一般,*,*,*,牝馬三冠,*,A,*,*,*,*,*
競馬新聞,0,0,3000,競馬新聞,ケイバシンブン,名詞,普通名詞,一般,*,*,*,競馬新聞,*,A,*,*,*,*,*
出馬表,0,0,3000,出馬表,デウマヒョウ,名詞,普通名詞,一般,*,*,*,出馬表,*,A,*,*,*,*,*
馬柱,0,0,3000,馬柱,ウマバシラ,名詞,普通名詞,一般,*,*,*,馬柱,*,A,*,*,*,*,*
血統表,0,0,3000,血統表,ケットウヒョウ,名詞,普通名詞,一般,*,*,*,血統表,*,A,*,*,*,*,*
競馬場入り,0,0,3000,競馬場入り,ケイバジョウイリ,名詞,普通名詞,一般,*,*,*,競馬場入り,*,A,*,*,*,*,*
白毛,0,0,3000,白毛,シロゲ,名詞,普通名詞,一般,*,*,*,白毛,*,A,*,*,*,*,*
芦毛,0,0,3000,芦毛,アシゲ,名詞,普通名詞,一般,*,*,*,芦毛,*,A,*,*,*,*,*
栗毛,0,0,3000,栗毛,クリゲ,名詞,普通名詞,一般,*,*,*,栗毛,*,A,*,*,*,*,*
鹿毛,0,0,3000,鹿毛,カゲ,名詞,普通名詞,一般,*,*,*,鹿毛,*,A,*,*,*,*,*
黒鹿毛,0,0,3000,黒鹿毛,クロカゲ,名詞,普通名詞,一般,*,*,*,黒鹿毛,*,A,*,*,*,*,*
青鹿毛,0,0,3000,青鹿毛,アオカゲ,名詞,普通名詞,一般,*,*,*,青鹿毛,*,A,*,*,*,*,*
青毛,0,0,3000,青毛,アオゲ,名詞,普通名詞,一般,*,*,*,青毛,*,A,*,*,*,*,*
栃栗毛,0,0,3000,栃栗毛,トチクリゲ,名詞,普通名詞,一般,*,*,*,栃栗毛,*,A,*,*,*,*,*
尾花栗毛,0,0,3000,尾花栗毛,オバナクリゲ,名詞,普通名詞,一般,*,*,*,尾花栗毛,*,A,*,*,*,*,*
日本中央競馬会,0,0,3000,日本中央競馬会,ニホンチュウオウケイバカイ,名詞,固有名詞,組織名,一般,*,*,日本中央競馬会,*,A,*,*,*,*,*
ノーザンファーム,0,0,3000,ノーザンファーム,ノーザンファーム,名詞,固有名詞,組織名,一般,*,*,ノーザンファーム,*,A,*,*,*,*,*
社台ファーム,0,0,3000,社台ファーム,シャダイファーム,名詞,固有名詞,組織名,一般,*,*,社台ファーム,*,A,*,*,*,*,*
社台レースホース,0,0,3000,社台レースホース,シャダイレースホース,名詞,固有名詞,組織名,一般,*,*,社台レースホース,*,A,*,*,*,*,*
サンデーレーシング,0,0,3000,サンデーレーシング,サンデーレーシング,名詞,固有名詞,組織名,一般,*,*,サンデーレーシング,*,A,*,*,*,*,*
シルクホースクラブ,0,0,3000,シルクホースクラブ,シルクホースクラブ,名詞,固有名詞,組織名,一般,*,*,シルクホースクラブ,*,A,*,*,*,*,*
キャロットファーム,0,0,3000,キャロットファーム,キャロットファーム,名詞,固有名詞,組織名,一般,*,*,キャロットファーム,*,A,*,*,*,*,*
セレクトセール,0,0,3000,セレクトセール,セレクトセール,名詞,固有名詞,一般,*,*,*,セレクトセール,*,A,*,*,*,*,*
うらかわ優駿ビレッジ,0,0,3000,うらかわ優駿ビレッジ,ウラカワユウシュンビレッジ,名詞,固有名詞,地名,一般,*,*,うらかわ優駿ビレッジ,*,A,*,*,*,*,*
中央競馬,0,0,3000,中央競馬,チュウオウケイバ,名詞,普通名詞,一般,*,*,*,中央競馬,*,A,*,*,*,*,*
地方競馬,0,0,3000,地方競馬,チホウケイバ,名詞,普通名詞,一般,*,*,*,地方競馬,*,A,*,*,*,*,*
ばんえい競馬,0,0,3000,ばんえい競馬,バンエイケイバ,名詞,普通名詞,一般,*,*,*,ばんえい競馬,*,A,*,*,*,*,*
ネット馬券,0,0,3000,ネット馬券,ネットバケン,名詞,普通名詞,一般,*,*,*,ネット馬券,*,A,*,*,*,*,*
馬券発売,0,0,3000,馬券発売,バケンハツバイ,名詞,普通名詞,サ変可能,*,*,*,馬券発売,*,A,*,*,*,*,*
払戻,0,0,3000,払戻,ハライモドシ,名詞,普通名詞,サ変可能,*,*,*,払戻,*,A,*,*,*,*,*
